name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
GetAWhey- Healthy Ice Cream,Pune,Dhanakawadi,--,Too Few Ratings,['Ice Cream'],₹300 FOR TWO,76.0,True,Bungalow 11 Shridhar Nagar Near Hill point society Ganesh Mandir Dhanakawadi Katraj,Veg,Medium,Restaurant: GetAWhey- Healthy Ice Cream. Area: Dhanakawadi. Cuisine: ['Ice Cream']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 76.0 mins. Address: Bungalow 11 Shridhar Nagar Near Hill point society Ganesh Mandir Dhanakawadi Katraj.
THIKANA,Pune,Baner,--,Too Few Ratings,['North Indian' 'Chinese' 'Italian' 'Combo'],₹1500 FOR TWO,67.0,False,105 SR. NO 270/1/23 DERON HEGHTSBANER BANER GAON PUNE (M CORP.) PUNE411045,Non-Veg,Low,Restaurant: THIKANA. Area: Baner. Cuisine: ['North Indian' 'Chinese' 'Italian' 'Combo']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 67.0 mins. Address: 105 SR. NO 270/1/23 DERON HEGHTSBANER BANER GAON PUNE (M CORP.) PUNE411045.
Bowls@69,Pune,Baner,--,Too Few Ratings,['Combo'],₹200 FOR TWO,72.0,False,Shop 1 Mariyam Paradise Survey 11 Opposite Lifeline Hospital Kausar Baug Kondhwa Pune,Non-Veg,Low,Restaurant: Bowls@69. Area: Baner. Cuisine: ['Combo']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 72.0 mins. Address: Shop 1 Mariyam Paradise Survey 11 Opposite Lifeline Hospital Kausar Baug Kondhwa Pune.
Surprise India - Cakes & Desserts,Pune,Bibwewadi,4.1,20+ ratings,['Bakery'],₹300 FOR TWO,77.0,False,Shop No 2 VIIT Hostel Chowk Bibwewadi Pune,Non-Veg,Medium,Restaurant: Surprise India - Cakes & Desserts. Area: Bibwewadi. Cuisine: ['Bakery']. Budget: Medium. Rating: 4.1. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 77.0 mins. Address: Shop No 2 VIIT Hostel Chowk Bibwewadi Pune.
GRAND ALHAMDULILLAH HOTEL,Pune,Kondhwa,3.1,20+ ratings,['Mughlai' 'Biryani' 'Tandoor' 'Chinese' 'Indian'],₹300 FOR TWO,71.0,False,Grand Allhamdulih Hotel Next to Kausar Baug Masjid Kausar Baug  Kondhwa. Pune- 411048. Locality & Area: Kausar Baug  Kondhwa,Non-Veg,Medium,Restaurant: GRAND ALHAMDULILLAH HOTEL. Area: Kondhwa. Cuisine: ['Mughlai' 'Biryani' 'Tandoor' 'Chinese' 'Indian']. Budget: Medium. Rating: 3.1. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 71.0 mins. Address: Grand Allhamdulih Hotel Next to Kausar Baug Masjid Kausar Baug  Kondhwa. Pune- 411048. Locality & Area: Kausar Baug  Kondhwa.
Samruddhi,Pune,Visharant Wadi,4.1,100+ ratings,['Mughlai' 'North Indian' 'Chinese'],₹300 FOR TWO,62.0,True,Kasturba Housing Society Windsor TerraceTingre nagar road Visharant Wadi Pune,Veg,Medium,Restaurant: Samruddhi. Area: Visharant Wadi. Cuisine: ['Mughlai' 'North Indian' 'Chinese']. Budget: Medium. Rating: 4.1. Reviews: 100+ ratings. Diet: Veg. Delivery: 62.0 mins. Address: Kasturba Housing Society Windsor TerraceTingre nagar road Visharant Wadi Pune.
NEW PARATHA CENTER,Pune,Aundh,--,Too Few Ratings,['Indian'],₹200 FOR TWO,69.0,True,S NO 160OPP OMKAR MANGAL KARYALAYAMBEDKAR VASAHAT AUNDH  PUNE - 411007,Veg,Low,Restaurant: NEW PARATHA CENTER. Area: Aundh. Cuisine: ['Indian']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 69.0 mins. Address: S NO 160OPP OMKAR MANGAL KARYALAYAMBEDKAR VASAHAT AUNDH  PUNE - 411007.
Spice Culture,Pune,Kondhwa,4.1,50+ ratings,['Chinese' 'North Indian' 'Biryani' 'Continental' 'Thai' 'Pizzas' 'Pastas'],₹500 FOR TWO,68.0,False,Behind Bliss Bakery NIBM Road Kondhwa,Non-Veg,Medium,Restaurant: Spice Culture. Area: Kondhwa. Cuisine: ['Chinese' 'North Indian' 'Biryani' 'Continental' 'Thai' 'Pizzas' 'Pastas']. Budget: Medium. Rating: 4.1. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 68.0 mins. Address: Behind Bliss Bakery NIBM Road Kondhwa.
Anda 420,Pune,Salunkhe Vihar,--,Too Few Ratings,['Fast Food'],₹200 FOR TWO,75.0,False,shop no C prime NIBM - salunkhe vihar Road  Bibwewadi Pune PMC  Maharashtra - 411048,Non-Veg,Low,Restaurant: Anda 420. Area: Salunkhe Vihar. Cuisine: ['Fast Food']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 75.0 mins. Address: shop no C prime NIBM - salunkhe vihar Road  Bibwewadi Pune PMC  Maharashtra - 411048.
THE CHINESE WINDOW,Pune,Dhankawadi,--,Too Few Ratings,['Chinese'],₹300 FOR TWO,77.0,False,Near Hotel Rudra road near Ramakrushna boys hostel Rajmudra Society Mohan Nagar Dhankawadi Pune Maharashtra 422008 India,Non-Veg,Medium,Restaurant: THE CHINESE WINDOW. Area: Dhankawadi. Cuisine: ['Chinese']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 77.0 mins. Address: Near Hotel Rudra road near Ramakrushna boys hostel Rajmudra Society Mohan Nagar Dhankawadi Pune Maharashtra 422008 India.
