name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
South Indian Restaurant,Kolkata,Central Kolkata,4.1,50+ ratings,['South Indian'],₹300 FOR TWO,57.0,False,22A Fazlul Haque Sarani(Jhowtala Road) Kolkata 700017,Non-Veg,Medium,Restaurant: South Indian Restaurant. Area: Central Kolkata. Cuisine: ['South Indian']. Budget: Medium. Rating: 4.1. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 57.0 mins. Address: 22A Fazlul Haque Sarani(Jhowtala Road) Kolkata 700017.
Charcoal Grill,Kolkata,Ballygunge,4.2,100+ ratings,['Indian' 'Chinese' 'Seafood'],₹600 FOR TWO,62.0,False,102 A & B Park Street Park Circus Area Kolkata,Non-Veg,High,Restaurant: Charcoal Grill. Area: Ballygunge. Cuisine: ['Indian' 'Chinese' 'Seafood']. Budget: High. Rating: 4.2. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 62.0 mins. Address: 102 A & B Park Street Park Circus Area Kolkata.
GOKUL SHREE - Tit Bits,Kolkata,Elgin,4.2,100+ ratings,['North Indian' 'Chinese'],₹500 FOR TWO,62.0,True,1 A.J.C. Bose Road Chowringhee Kolkata,Veg,Medium,Restaurant: GOKUL SHREE - Tit Bits. Area: Elgin. Cuisine: ['North Indian' 'Chinese']. Budget: Medium. Rating: 4.2. Reviews: 100+ ratings. Diet: Veg. Delivery: 62.0 mins. Address: 1 A.J.C. Bose Road Chowringhee Kolkata.
Adil Biryani Restaurant,Kolkata,Ballygunge,4.2,100+ ratings,['Biryani' 'Kebabs' 'Mughlai'],₹300 FOR TWO,56.0,False,18A Syed Amir Ali Avenue Opposite Park Circus Tram Depot Park Circus Area KolkataPark Circus Area KolkataKolkata,Non-Veg,Medium,Restaurant: Adil Biryani Restaurant. Area: Ballygunge. Cuisine: ['Biryani' 'Kebabs' 'Mughlai']. Budget: Medium. Rating: 4.2. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 56.0 mins. Address: 18A Syed Amir Ali Avenue Opposite Park Circus Tram Depot Park Circus Area KolkataPark Circus Area KolkataKolkata.
ARABIAN WRAPS,Kolkata,Sector V Salt Lake,--,Too Few Ratings,['Fast Food' 'Chinese' 'Pizzas' 'Beverages'],₹200 FOR TWO,48.0,False,NP - 232 NAYAPATTY SALT LAKE SECTOR 5 WORD NO - 28 BIDHANNAGAR - RAJARHAT MUNICIPAL CORPORATION NORTH TWENTY FOUR PARGANAS WEST BENGAL -  700102.,Non-Veg,Low,Restaurant: ARABIAN WRAPS. Area: Sector V Salt Lake. Cuisine: ['Fast Food' 'Chinese' 'Pizzas' 'Beverages']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 48.0 mins. Address: NP - 232 NAYAPATTY SALT LAKE SECTOR 5 WORD NO - 28 BIDHANNAGAR - RAJARHAT MUNICIPAL CORPORATION NORTH TWENTY FOUR PARGANAS WEST BENGAL -  700102..
Drumstick,Kolkata,Beleghata,4.2,50+ ratings,['Indian' 'Chinese' 'Continental' 'Tandoor' 'Bengali'],₹400 FOR TWO,61.0,False,8 Hem Chandra Naskar Road Beliaghata CIT More Kolkata,Non-Veg,Medium,Restaurant: Drumstick. Area: Beleghata. Cuisine: ['Indian' 'Chinese' 'Continental' 'Tandoor' 'Bengali']. Budget: Medium. Rating: 4.2. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 61.0 mins. Address: 8 Hem Chandra Naskar Road Beliaghata CIT More Kolkata.
Dinner House,Kolkata,Beleghata,4.4,100+ ratings,['Indian' 'Chinese' 'Tandoor'],₹500 FOR TWO,57.0,False,25A Surah 3rd Lane Near Beliaghata Police Station Beliaghata Kolkata,Non-Veg,Medium,Restaurant: Dinner House. Area: Beleghata. Cuisine: ['Indian' 'Chinese' 'Tandoor']. Budget: Medium. Rating: 4.4. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 57.0 mins. Address: 25A Surah 3rd Lane Near Beliaghata Police Station Beliaghata Kolkata.
Double down,Kolkata,Bhowanipore,--,Too Few Ratings,['Indian'],₹200 FOR TWO,60.0,False,Ground	floorunit No-3A3B4A4B5A5BPermises No-11/1Ideal Plazasarat bose roadKolkata-700016,Non-Veg,Low,Restaurant: Double down. Area: Bhowanipore. Cuisine: ['Indian']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 60.0 mins. Address: Ground	floorunit No-3A3B4A4B5A5BPermises No-11/1Ideal Plazasarat bose roadKolkata-700016.
Appetizer,Kolkata,Maniktala Main Rd,4,20+ ratings,['Fast Food'],₹200 FOR TWO,61.0,False,154 manicktalla main road opposite EKTA residency Kolkata - 700064,Non-Veg,Low,Restaurant: Appetizer. Area: Maniktala Main Rd. Cuisine: ['Fast Food']. Budget: Low. Rating: 4. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 61.0 mins. Address: 154 manicktalla main road opposite EKTA residency Kolkata - 700064.
Azad Hind Dhaba-Ballygunge,Kolkata,Ballygunge,4.3,1000+ ratings,['North Indian'],₹400 FOR TWO,62.0,False,12/1 Ballygunge Circular Road Kolkata 19,Non-Veg,Medium,Restaurant: Azad Hind Dhaba-Ballygunge. Area: Ballygunge. Cuisine: ['North Indian']. Budget: Medium. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 62.0 mins. Address: 12/1 Ballygunge Circular Road Kolkata 19.
Beijing,Kolkata,Tangra,4.2,1000+ ratings,['Chinese' 'Asian' 'Oriental' 'Pan-Asian' 'Thai' 'Seafood'],₹1200 FOR TWO,62.0,False,77/1 Christopher Road Kolkata-700046,Non-Veg,Low,Restaurant: Beijing. Area: Tangra. Cuisine: ['Chinese' 'Asian' 'Oriental' 'Pan-Asian' 'Thai' 'Seafood']. Budget: Low. Rating: 4.2. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 62.0 mins. Address: 77/1 Christopher Road Kolkata-700046.
Royal China,Kolkata,Bhowanipore,4.3,100+ ratings,['Chinese' 'Asian' 'Oriental' 'Seafood' 'Desserts'],₹1500 FOR TWO,72.0,False,Forum Courtyard 4th Floor10/3 Elgin Road,Non-Veg,Low,Restaurant: Royal China. Area: Bhowanipore. Cuisine: ['Chinese' 'Asian' 'Oriental' 'Seafood' 'Desserts']. Budget: Low. Rating: 4.3. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 72.0 mins. Address: Forum Courtyard 4th Floor10/3 Elgin Road.
Da Delicious China,Kolkata,Tangra,--,Too Few Ratings,['Chinese' 'Indian'],₹200 FOR TWO,59.0,False,25 DHAPA ROAD GROUND FLOOR WD-58 BR-VII KOLKATA MUNICIPAL CORPORATION Kolkata West Bengal 700105,Non-Veg,Low,Restaurant: Da Delicious China. Area: Tangra. Cuisine: ['Chinese' 'Indian']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 59.0 mins. Address: 25 DHAPA ROAD GROUND FLOOR WD-58 BR-VII KOLKATA MUNICIPAL CORPORATION Kolkata West Bengal 700105.
THE TANDOORI STARTUP,Kolkata,Beleghata,4.5,20+ ratings,['Tandoor' 'Chinese' 'Beverages'],₹300 FOR TWO,62.0,False,17a Sura 3rd Ln Subhas Sarobar Park Phool Bagan Beleghata Kolkata West Bengal 700010 India,Non-Veg,Medium,Restaurant: THE TANDOORI STARTUP. Area: Beleghata. Cuisine: ['Tandoor' 'Chinese' 'Beverages']. Budget: Medium. Rating: 4.5. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 62.0 mins. Address: 17a Sura 3rd Ln Subhas Sarobar Park Phool Bagan Beleghata Kolkata West Bengal 700010 India.
