name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
CHOOLAH (PURE VEG),Delhi,Ramesh Nagar,3.6,20+ ratings,['North Indian' 'Mughlai' 'Punjabi'],₹200 FOR TWO,73.0,True,11 GF  Shanti Store Market Club road west Punjabi Bagh New Delhi,Veg,Low,Restaurant: CHOOLAH (PURE VEG). Area: Ramesh Nagar. Cuisine: ['North Indian' 'Mughlai' 'Punjabi']. Budget: Low. Rating: 3.6. Reviews: 20+ ratings. Diet: Veg. Delivery: 73.0 mins. Address: 11 GF  Shanti Store Market Club road west Punjabi Bagh New Delhi.
M.k. Chinese Food,Delhi,Tri Nagar,--,Too Few Ratings,['Chinese'],₹450 FOR TWO,72.0,True,A1/111 Keshav PuramDelhi-110035 KANJHAWLA North West (Delhi) - 110035,Veg,Medium,Restaurant: M.k. Chinese Food. Area: Tri Nagar. Cuisine: ['Chinese']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 72.0 mins. Address: A1/111 Keshav PuramDelhi-110035 KANJHAWLA North West (Delhi) - 110035.
Wonder Bao,Delhi,Punjabi Bagh,4.1,50+ ratings,['Chinese' 'Fast Food' 'Pan-Asian'],₹800 FOR TWO,71.0,False,Stall no.  20 central market west Punjabi bagh near McDonald's 110026,Non-Veg,High,Restaurant: Wonder Bao. Area: Punjabi Bagh. Cuisine: ['Chinese' 'Fast Food' 'Pan-Asian']. Budget: High. Rating: 4.1. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 71.0 mins. Address: Stall no.  20 central market west Punjabi bagh near McDonald's 110026.
Grillz n gravy,Delhi,punjabi bagh,--,Too Few Ratings,['Chinese' 'Mughlai' 'Indian'],₹500 FOR TWO,69.0,False,16 NWA Market Club Road Punjabi Bagh New Delhi110026,Non-Veg,Medium,Restaurant: Grillz n gravy. Area: punjabi bagh. Cuisine: ['Chinese' 'Mughlai' 'Indian']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 69.0 mins. Address: 16 NWA Market Club Road Punjabi Bagh New Delhi110026.
Shakespeare Cafe (Punjabi bagh),Delhi,Punjabi Bagh,--,Too Few Ratings,['Indian' 'Tandoor' 'Chinese'],₹400 FOR TWO,75.0,False,PLOT NO.6 FF NWA MAIN CLUB ROAD WEST PUNJABI BAGH NEW DELHI -110026,Non-Veg,Medium,Restaurant: Shakespeare Cafe (Punjabi bagh). Area: Punjabi Bagh. Cuisine: ['Indian' 'Tandoor' 'Chinese']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 75.0 mins. Address: PLOT NO.6 FF NWA MAIN CLUB ROAD WEST PUNJABI BAGH NEW DELHI -110026.
PapaJi & Sons,Delhi,Ramesh Nagar,--,Too Few Ratings,['Mughlai' 'Chinese' 'Continental' 'Indian' 'Italian'],₹250 FOR TWO,78.0,False,BG-5 Paschim Vihar,Non-Veg,Low,Restaurant: PapaJi & Sons. Area: Ramesh Nagar. Cuisine: ['Mughlai' 'Chinese' 'Continental' 'Indian' 'Italian']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 78.0 mins. Address: BG-5 Paschim Vihar.
Kalaunji By Sticky Rice,Delhi,Punjabi Bagh,4.4,50+ ratings,['North Indian' 'Mughlai' 'Biryani' 'Desserts' 'Indian' 'Kebabs'],₹800 FOR TWO,72.0,False,Building No 29 Ground Floor Central Market Punjabi Bagh West 110026,Non-Veg,High,Restaurant: Kalaunji By Sticky Rice. Area: Punjabi Bagh. Cuisine: ['North Indian' 'Mughlai' 'Biryani' 'Desserts' 'Indian' 'Kebabs']. Budget: High. Rating: 4.4. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 72.0 mins. Address: Building No 29 Ground Floor Central Market Punjabi Bagh West 110026.
Mirza,Delhi,Central Markt Punjabi Bagh,4,500+ ratings,['North Indian' 'Chinese' 'Biryani' 'Snacks' 'Chaat' 'Beverages'],₹250 FOR TWO,68.0,False,Shop No. 17 punjabi bagh west Punjabi bagh,Non-Veg,Low,Restaurant: Mirza. Area: Central Markt Punjabi Bagh. Cuisine: ['North Indian' 'Chinese' 'Biryani' 'Snacks' 'Chaat' 'Beverages']. Budget: Low. Rating: 4. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 68.0 mins. Address: Shop No. 17 punjabi bagh west Punjabi bagh.
PRANAV KABAB,Delhi,Punjabi Bagh,--,Too Few Ratings,['Indian' 'Chinese' 'Mughlai' 'Biryani'],₹600 FOR TWO,71.0,False,GROUND FLOOR SHOP NO. 23 CLUB MARKET ROAD SECTOR IV WEST PUNJABI BAGH WEST DELHI  MADIPUR PUNJABI BAGH West  Delhi 110026,Non-Veg,High,Restaurant: PRANAV KABAB. Area: Punjabi Bagh. Cuisine: ['Indian' 'Chinese' 'Mughlai' 'Biryani']. Budget: High. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 71.0 mins. Address: GROUND FLOOR SHOP NO. 23 CLUB MARKET ROAD SECTOR IV WEST PUNJABI BAGH WEST DELHI  MADIPUR PUNJABI BAGH West  Delhi 110026.
PAPAJII & SONS (PUNJABI BAGH),Delhi,Ramesh Nagar,3.8,50+ ratings,['Indian' 'Chinese' 'Mughlai'],₹250 FOR TWO,71.0,False,18 Shanti store market club Road,Non-Veg,Low,Restaurant: PAPAJII & SONS (PUNJABI BAGH). Area: Ramesh Nagar. Cuisine: ['Indian' 'Chinese' 'Mughlai']. Budget: Low. Rating: 3.8. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 71.0 mins. Address: 18 Shanti store market club Road.
