name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
Krowns Kitchen,Mumbai,Chembur,--,Too Few Ratings,['North Indian' 'Lebanese' 'Mughlai' 'Kebabs' 'Tandoor'],₹400 FOR TWO,57.0,False,MS Building no.6 Camp East Chembur Colony Chembur Mumbai Maharashtra India,Non-Veg,Medium,Restaurant: Krowns Kitchen. Area: Chembur. Cuisine: ['North Indian' 'Lebanese' 'Mughlai' 'Kebabs' 'Tandoor']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 57.0 mins. Address: MS Building no.6 Camp East Chembur Colony Chembur Mumbai Maharashtra India.
Sorrentina - Italian Bakery & Kitchen,Mumbai,Powai Area,--,Too Few Ratings,['Bakery' 'Pizzas' 'Desserts'],₹300 FOR TWO,60.0,False,Galaxy Entertainment corporation Ltd. Eyelet House M.S.Patel Compound Near John Baker Bus Stop Opp Shah Industrial Estae Saki Vihar Road Saki Naka Andheri East Mumbai 400072,Non-Veg,Medium,Restaurant: Sorrentina - Italian Bakery & Kitchen. Area: Powai Area. Cuisine: ['Bakery' 'Pizzas' 'Desserts']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 60.0 mins. Address: Galaxy Entertainment corporation Ltd. Eyelet House M.S.Patel Compound Near John Baker Bus Stop Opp Shah Industrial Estae Saki Vihar Road Saki Naka Andheri East Mumbai 400072.
Hotel Rudra,Mumbai,Kurla,--,Too Few Ratings,['Chinese'],₹250 FOR TWO,36.0,False,New Mill Rd  Ambedkar Nagar  Kurla West  Kurla  Mumbai  Maharashtra 400070,Non-Veg,Low,Restaurant: Hotel Rudra. Area: Kurla. Cuisine: ['Chinese']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 36.0 mins. Address: New Mill Rd  Ambedkar Nagar  Kurla West  Kurla  Mumbai  Maharashtra 400070.
A1 Darbar,Mumbai,Kurla West,4.3,50+ ratings,['Indian'],₹200 FOR TWO,31.0,False,Plot no 8 shivaji kutir mandal next to best depot opp peninsula lbs marg kurla west,Non-Veg,Low,Restaurant: A1 Darbar. Area: Kurla West. Cuisine: ['Indian']. Budget: Low. Rating: 4.3. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 31.0 mins. Address: Plot no 8 shivaji kutir mandal next to best depot opp peninsula lbs marg kurla west.
AL ZAIKA DHABA,Mumbai,Kurla,--,Too Few Ratings,['Indian'  'Biryani'  'Chinese'  'Beverages'  'Seafood'  'Tandoor'],₹300 FOR TWO,30.0,False,169  L.B.S. MARG  AGRA ROAD  NEAR KALPANA TALKIES  KURLA WEST MUMBAI-400070  Kurla Gaon  Greater Mumbai Ward-L  Greater Mumbai  Maharashtra - 400070,Non-Veg,Medium,Restaurant: AL ZAIKA DHABA. Area: Kurla. Cuisine: ['Indian'  'Biryani'  'Chinese'  'Beverages'  'Seafood'  'Tandoor']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 30.0 mins. Address: 169  L.B.S. MARG  AGRA ROAD  NEAR KALPANA TALKIES  KURLA WEST MUMBAI-400070  Kurla Gaon  Greater Mumbai Ward-L  Greater Mumbai  Maharashtra - 400070.
Tibb's Frankie (Tilak Nagar),Mumbai,Kurla,4,100+ ratings,['Fast Food'  'Snacks'  'North Indian'  'Mexican'  'Beverages'],₹200 FOR TWO,35.0,False,Shop no 1A  Bldg 41  Swapna Shilp CHS  Tilak Nagar  Chembur  Mumbai  Maharashtra 400089,Non-Veg,Low,Restaurant: Tibb's Frankie (Tilak Nagar). Area: Kurla. Cuisine: ['Fast Food'  'Snacks'  'North Indian'  'Mexican'  'Beverages']. Budget: Low. Rating: 4. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: Shop no 1A  Bldg 41  Swapna Shilp CHS  Tilak Nagar  Chembur  Mumbai  Maharashtra 400089.
BURNT CHILLIES,Mumbai,Kurla (W),--,Too Few Ratings,['Indian'],₹200 FOR TWO,33.0,False,SHOP NO. 200   E 1   A H WADIA MARG   OPPOSITE- KURLA WEIGHT BRIDGE  KURLA WEST  Kurla Turminus  Greater Mumbai Ward-L  Greater Mumbai  Maharashtra - 400070,Non-Veg,Low,Restaurant: BURNT CHILLIES. Area: Kurla (W). Cuisine: ['Indian']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 33.0 mins. Address: SHOP NO. 200   E 1   A H WADIA MARG   OPPOSITE- KURLA WEIGHT BRIDGE  KURLA WEST  Kurla Turminus  Greater Mumbai Ward-L  Greater Mumbai  Maharashtra - 400070.
TUKI,Mumbai,Santacruz East,4.3,50+ ratings,['Chinese'  'Asian'],₹600 FOR TWO,36.0,False,UNIT NO. 2  GROUND FLOOR  22-24  SWASTIK  INDUSTRIAL ESTATE  C.S.T.ROAD  KALINA    SANETACRUZ (EAST)  MUMBAI - 400098   Greater Mumbai Ward-H/E  Greater Mumbai   Maharashtra-400098,Non-Veg,High,Restaurant: TUKI. Area: Santacruz East. Cuisine: ['Chinese'  'Asian']. Budget: High. Rating: 4.3. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 36.0 mins. Address: UNIT NO. 2  GROUND FLOOR  22-24  SWASTIK  INDUSTRIAL ESTATE  C.S.T.ROAD  KALINA    SANETACRUZ (EAST)  MUMBAI - 400098   Greater Mumbai Ward-H/E  Greater Mumbai   Maharashtra-400098.
Fresh Breakfast,Mumbai,Kurla,--,Too Few Ratings,['Indian'  'South Indian'  'Snacks'],₹250 FOR TWO,35.0,False,604  6th Floor  A Wing  Project Airport   SRA Building no.5  Kirol Road Permier Compund  Kurla  Kurla Turminus  Greater Mumbai Ward-L  Greater Mumbai  Maharashtra - 400070,Non-Veg,Low,Restaurant: Fresh Breakfast. Area: Kurla. Cuisine: ['Indian'  'South Indian'  'Snacks']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: 604  6th Floor  A Wing  Project Airport   SRA Building no.5  Kirol Road Permier Compund  Kurla  Kurla Turminus  Greater Mumbai Ward-L  Greater Mumbai  Maharashtra - 400070.
King Chilli Chindian Fusion,Mumbai,Santacruz East,4.1,100+ ratings,['Chinese'  'Pan-Asian'  'Asian'  'Beverages'  'Desserts'],₹400 FOR TWO,40.0,False,Shop no. 10  Lovely homes  opp bank of baroda  Kalina Kurla road  Santacruz East   Mumbai 400029,Non-Veg,Medium,Restaurant: King Chilli Chindian Fusion. Area: Santacruz East. Cuisine: ['Chinese'  'Pan-Asian'  'Asian'  'Beverages'  'Desserts']. Budget: Medium. Rating: 4.1. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 40.0 mins. Address: Shop no. 10  Lovely homes  opp bank of baroda  Kalina Kurla road  Santacruz East   Mumbai 400029.
